Comparison,Metric,Segment,value
GTvsATLAS,DICE,esophagus,0.5882274718766026
GTvsATLAS,DICE,esophagus_1,0.5882274718766026
GTvsATLAS,DICE,esophagus_2,0.5882274718766026
GTvsATLAS,DICE,lips,0.6067036453394321
GTvsATLAS,DICE,lips_1,0.6067036453394321
GTvsATLAS,DICE,lips_2,0.6067036453394321
GTvsATLAS,DICE,mandible,0.8744567986333802
GTvsATLAS,DICE,mandible_1,0.8744567986333802
GTvsATLAS,DICE,mandible_2,0.8744567986333802
GTvsATLAS,DICE,parotid_merged,0.7330223667081528
GTvsATLAS,DICE,parotid_merged_1,0.7330223667081528
GTvsATLAS,DICE,parotid_merged_2,0.7330223667081528
GTvsATLAS,DICE,pcm_low,0.5432924563359346
GTvsATLAS,DICE,pcm_low_1,0.5432924563359346
GTvsATLAS,DICE,pcm_low_2,0.5432924563359346
GTvsATLAS,DICE,pcm_mid,0.6188306830606334
GTvsATLAS,DICE,pcm_mid_1,0.6188306830606334
GTvsATLAS,DICE,pcm_mid_2,0.6188306830606334
GTvsATLAS,DICE,pcm_up,0.6247949885745068
GTvsATLAS,DICE,pcm_up_1,0.6247949885745068
GTvsATLAS,DICE,pcm_up_2,0.6247949885745068
GTvsATLAS,DICE,spinalcord,0.7842082084247612
GTvsATLAS,DICE,spinalcord_1,0.7842082084247612
GTvsATLAS,DICE,spinalcord_2,0.7842082084247612
GTvsATLAS,DICE,submandibular_merged,0.6552316121814963
GTvsATLAS,DICE,submandibular_merged_1,0.6552316121814963
GTvsATLAS,DICE,submandibular_merged_2,0.6552316121814963
GTvsATLAS,DICE,thyroid,0.620380739081747
GTvsATLAS,DICE,thyroid_1,0.620380739081747
GTvsATLAS,DICE,thyroid_2,0.620380739081747
GTvsATLAS,EPL,esophagus,1215.8203125
GTvsATLAS,EPL,esophagus_1,756.787109375
GTvsATLAS,EPL,esophagus_2,435.3515625
GTvsATLAS,EPL,lips,1686.328125
GTvsATLAS,EPL,lips_1,1027.890625
GTvsATLAS,EPL,lips_2,578.3203125
GTvsATLAS,EPL,mandible,5159.765625
GTvsATLAS,EPL,mandible_1,1134.375
GTvsATLAS,EPL,mandible_2,232.03125
GTvsATLAS,EPL,parotid_merged,4190.625
GTvsATLAS,EPL,parotid_merged_1,2812.39453125
GTvsATLAS,EPL,parotid_merged_2,1923.046875
GTvsATLAS,EPL,pcm_low,916.40625
GTvsATLAS,EPL,pcm_low_1,448.828125
GTvsATLAS,EPL,pcm_low_2,217.96875
GTvsATLAS,EPL,pcm_mid,1229.8828125
GTvsATLAS,EPL,pcm_mid_1,601.171875
GTvsATLAS,EPL,pcm_mid_2,270.15625
GTvsATLAS,EPL,pcm_up,1927.734375
GTvsATLAS,EPL,pcm_up_1,1076.09375
GTvsATLAS,EPL,pcm_up_2,550.1953125
GTvsATLAS,EPL,spinalcord,2661.9921875
GTvsATLAS,EPL,spinalcord_1,1029.4921875
GTvsATLAS,EPL,spinalcord_2,290.0390625
GTvsATLAS,EPL,submandibular_merged,1579.1015625
GTvsATLAS,EPL,submandibular_merged_1,1107.5
GTvsATLAS,EPL,submandibular_merged_2,715.4296875
GTvsATLAS,EPL,thyroid,2026.171875
GTvsATLAS,EPL,thyroid_1,1436.71875
GTvsATLAS,EPL,thyroid_2,875.390625
GTvsATLAS,Hausdorff,esophagus,21.16583558806994
GTvsATLAS,Hausdorff,esophagus_1,21.16583558806994
GTvsATLAS,Hausdorff,esophagus_2,21.16583558806994
GTvsATLAS,Hausdorff,lips,14.342424435286741
GTvsATLAS,Hausdorff,lips_1,14.342424435286741
GTvsATLAS,Hausdorff,lips_2,14.342424435286741
GTvsATLAS,Hausdorff,mandible,12.0
GTvsATLAS,Hausdorff,mandible_1,12.0
GTvsATLAS,Hausdorff,mandible_2,12.0
GTvsATLAS,Hausdorff,parotid_merged,14.82212117176309
GTvsATLAS,Hausdorff,parotid_merged_1,14.82212117176309
GTvsATLAS,Hausdorff,parotid_merged_2,14.82212117176309
GTvsATLAS,Hausdorff,pcm_low,12.113900364096198
GTvsATLAS,Hausdorff,pcm_low_1,12.113900364096198
GTvsATLAS,Hausdorff,pcm_low_2,12.113900364096198
GTvsATLAS,Hausdorff,pcm_mid,10.85486603930413
GTvsATLAS,Hausdorff,pcm_mid_1,10.85486603930413
GTvsATLAS,Hausdorff,pcm_mid_2,10.85486603930413
GTvsATLAS,Hausdorff,pcm_up,15.374523747952562
GTvsATLAS,Hausdorff,pcm_up_1,15.374523747952562
GTvsATLAS,Hausdorff,pcm_up_2,15.374523747952562
GTvsATLAS,Hausdorff,spinalcord,6.954108076570639
GTvsATLAS,Hausdorff,spinalcord_1,6.954108076570639
GTvsATLAS,Hausdorff,spinalcord_2,6.954108076570639
GTvsATLAS,Hausdorff,submandibular_merged,12.115382217097196
GTvsATLAS,Hausdorff,submandibular_merged_1,12.115382217097196
GTvsATLAS,Hausdorff,submandibular_merged_2,12.115382217097196
GTvsATLAS,Hausdorff,thyroid,18.0381066361086
GTvsATLAS,Hausdorff,thyroid_1,18.0381066361086
GTvsATLAS,Hausdorff,thyroid_2,18.0381066361086
GTvsATLAS,LineRatio,esophagus,0.8735041283701281
GTvsATLAS,LineRatio,esophagus_1,0.5833123380362799
GTvsATLAS,LineRatio,esophagus_2,0.39386801808949534
GTvsATLAS,LineRatio,lips,0.847646612117974
GTvsATLAS,LineRatio,lips_1,0.5234787480105144
GTvsATLAS,LineRatio,lips_2,0.30108580736214313
GTvsATLAS,LineRatio,mandible,0.7232597623089984
GTvsATLAS,LineRatio,mandible_1,0.1649862511457378
GTvsATLAS,LineRatio,mandible_2,0.0351335656213705
GTvsATLAS,LineRatio,parotid_merged,0.8985483989734433
GTvsATLAS,LineRatio,parotid_merged_1,0.6386854489824487
GTvsATLAS,LineRatio,parotid_merged_2,0.44660101682488224
GTvsATLAS,LineRatio,pcm_low,0.8134110787172012
GTvsATLAS,LineRatio,pcm_low_1,0.4824016563146998
GTvsATLAS,LineRatio,pcm_low_2,0.2050997782705099
GTvsATLAS,LineRatio,pcm_mid,0.7907926841496594
GTvsATLAS,LineRatio,pcm_mid_1,0.42006186642814547
GTvsATLAS,LineRatio,pcm_mid_2,0.20874369170625728
GTvsATLAS,LineRatio,pcm_up,0.8194608033699065
GTvsATLAS,LineRatio,pcm_up_1,0.4779653299619904
GTvsATLAS,LineRatio,pcm_up_2,0.25432592184245983
GTvsATLAS,LineRatio,spinalcord,0.7643710519088163
GTvsATLAS,LineRatio,spinalcord_1,0.2988423739717214
GTvsATLAS,LineRatio,spinalcord_2,0.08617887090265006
GTvsATLAS,LineRatio,submandibular_merged,0.8858534230627253
GTvsATLAS,LineRatio,submandibular_merged_1,0.6253350034539393
GTvsATLAS,LineRatio,submandibular_merged_2,0.41888950715981205
GTvsATLAS,LineRatio,thyroid,0.8816705336426914
GTvsATLAS,LineRatio,thyroid_1,0.6064935064935065
GTvsATLAS,LineRatio,thyroid_2,0.4081408140814081
GTvsATLAS,MSD,esophagus,2.149631521267733
GTvsATLAS,MSD,esophagus_1,2.149631521267733
GTvsATLAS,MSD,esophagus_2,2.149631521267733
GTvsATLAS,MSD,lips,1.3430516608571181
GTvsATLAS,MSD,lips_1,1.3430516608571181
GTvsATLAS,MSD,lips_2,1.3430516608571181
GTvsATLAS,MSD,mandible,0.2884655843139135
GTvsATLAS,MSD,mandible_1,0.2884655843139135
GTvsATLAS,MSD,mandible_2,0.2884655843139135
