,Comparison,Metric,Segment,value
0,GTvsATLAS,DICE,brainstem,
1,GTvsATLAS,EPL,brainstem,
2,GTvsATLAS,Hausdorff,brainstem,
3,GTvsATLAS,LineRatio,brainstem,
4,GTvsATLAS,MSD,brainstem,
5,GTvsATLAS,VolumeRatio,brainstem,
6,GTvsDL,DICE,brainstem,0.8460396443525003
7,GTvsDL,EPL,brainstem,1544.5027825342465
8,GTvsDL,Hausdorff,brainstem,7.5794434802621895
9,GTvsDL,LineRatio,brainstem,0.7863347427863285
10,GTvsDL,MSD,brainstem,0.3985723890544484
11,GTvsDL,VolumeRatio,brainstem,0.14010809342030206
12,GTvsDLB,DICE,brainstem,0.9074837820372275
13,GTvsDLB,EPL,brainstem,1340.7331442636987
14,GTvsDLB,Hausdorff,brainstem,5.447214085554969
15,GTvsDLB,LineRatio,brainstem,0.679008349848471
16,GTvsDLB,MSD,brainstem,0.15518011347911467
17,GTvsDLB,VolumeRatio,brainstem,0.08778852250617007
18,GTvsATLAS,DICE,esophagus,0.5759089874926485
19,GTvsATLAS,EPL,esophagus,1287.480224609375
20,GTvsATLAS,Hausdorff,esophagus,22.53404791429361
21,GTvsATLAS,LineRatio,esophagus,0.8579712323645666
22,GTvsATLAS,MSD,esophagus,2.5308696126736296
23,GTvsATLAS,VolumeRatio,esophagus,0.35473471068673684
24,GTvsDL,DICE,esophagus,0.718374367153458
25,GTvsDL,EPL,esophagus,1128.8817671654929
26,GTvsDL,Hausdorff,esophagus,19.191921513748156
27,GTvsDL,LineRatio,esophagus,0.7417037421899529
28,GTvsDL,MSD,esophagus,1.733886727125043
29,GTvsDL,VolumeRatio,esophagus,0.2488730547740858
30,GTvsDLB,DICE,esophagus,0.8735841271025009
31,GTvsDLB,EPL,esophagus,932.8463908450705
32,GTvsDLB,Hausdorff,esophagus,9.790247103485862
33,GTvsDLB,LineRatio,esophagus,0.6057944270035259
34,GTvsDLB,MSD,esophagus,0.21761436212668192
35,GTvsDLB,VolumeRatio,esophagus,0.12031728731057088
36,GTvsATLAS,DICE,eyeback_merged,
37,GTvsATLAS,EPL,eyeback_merged,
38,GTvsATLAS,Hausdorff,eyeback_merged,
39,GTvsATLAS,LineRatio,eyeback_merged,
40,GTvsATLAS,MSD,eyeback_merged,
41,GTvsATLAS,VolumeRatio,eyeback_merged,
42,GTvsDL,DICE,eyeback_merged,0.6681186266022219
43,GTvsDL,EPL,eyeback_merged,1143.994357638889
44,GTvsDL,Hausdorff,eyeback_merged,14.109485761386903
45,GTvsDL,LineRatio,eyeback_merged,0.8398268884062348
46,GTvsDL,MSD,eyeback_merged,2.3126166498158307
47,GTvsDL,VolumeRatio,eyeback_merged,0.386729497914624
48,GTvsDLB,DICE,eyeback_merged,0.8804930397146247
